,,,,,,,,,,
Table 12. Total domestic trip expenditurea by expenditure item,,,,,,,,,,
"by quarter, from March Quarter 2025",,,,,,,,,,
,March Quarter 2025,June Quarter 2025,September Quarter 2025,December quarter 2025,,,,,,
Total expenditure ($M),,,,,,,,,,
Domestic airfares,4129.908,4180.608,4604.929,4744.166,,,,,,
Package Tours,369.316,398.305,468.343,537.066,,,,,,
Organised Tours,306.063,340.541,333.185,363.896,,,,,,
Rental vehicles,521.776,510.018,541.579,557.679,,,,,,
Petrol,5440.154,5369.964,5636.841,5965.958,,,,,,
Vehicle maintenance/repairs,291.278,396.263,522.353,602.764,,,,,,
Taxi,366.926,383.607,427.877,497.503,,,,,,
Other local public transport,222.455,225.753,230.879,241.313,,,,,,
Long distance public transport,1022.534,946.293,985.788,1057.162,,,,,,
Accommodation,8073.701,6798.264,6789.373,7492.193,,,,,,
Groceries for self-catering,2174.828,2029.932,2185.117,2416.783,,,,,,
"Alcohol, drinks (not already reported)",2011.684,1891.418,1928.27,1979.485,,,,,,
Takeaways and restaurant meals,7027.029,6475.299,6625.926,7016.043,,,,,,
Shopping / gifts /souvenirs,4376.885,4124.376,4186.649,3929.44,,,,,,
Entertainment,1486.347,1240.756,1227.639,1255.692,,,,,,
Gambling,143.856,155.736,191.331,202.134,,,,,,
Education fees,83.524,85.402,77.348,67.556,,,,,,
Convention / Conference / Seminar / Trade fair,159.35,172.184,188.858,204.048,,,,,,
Other expenditure nfd,670.673,649.66,753.883,833.513,,,,,,
Totalb,38878.287,36374.381,37915.03,39993.124,,,,,,
,,,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,,,
b. Totals may not add due to rounding.,,,,,,,,,,
,,,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,,,
nfd. Not further defined,,,,,,,,,,
,,,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,,,
,,,,,,,,,,
Back to Content,,,,,,,,,,
