,,,,,,,,
"Table 2a. Overnight trips, visitor nights and regional expenditure by Inter/Intrastatea,",,,,,,,,
current quarter compared to same quarter in previous year,,,,,,,,
,December Quarter 2024c,December Quarter 2025,Proportion(%),Change(%),,,,
Overnight trips('000)d,,,,,,,,
Interstate,7507.504,7671.642,25.973,2.186,,,,
Intrastate,22071.141,21865.898,74.027,-0.93,,,,
Totalb,29578.645,29537.54,100,-0.139,,,,
Visitor nights('000),,,,,,,,
Interstate,31220.893,31933.325,33.202,2.282,,,,
Intrastate,63713.13,64244.163,66.798,0.833,,,,
Totalb,94934.023,96177.487,100,1.31,,,,
Regional expenditure($M)e,,,,,,,,
Interstate,11769.912,13053.954,47.862,10.91,,,,
Intrastate,16235.596,14220.283,52.138,-12.413,,,,
Totalb,28005.508,27274.237,100,-2.611,,,,
,,,,,,,,
a. All figures relate to Australian residents aged 14 years and over.,,,,,,,,
b. Totals may not add due to rounding.,,,,,,,,
c. June Quarter 2024 figures were backcast and adjusted using the new Domestic Tourism Statistics methodology which came into effect January 2025.,,,,,,,,
d. At the national level a trip is allocated as interstate if the trip includes visits to both interstate and intrastate locations,,,,,,,,
"e. At the national level trip expenditure is allocated to interstate or intrastate (whichever applies), not distributed between the various interstate and intrastate locations in which they may have had spending on their trip. ",,,,,,,,
,,,,,,,,
np. Data is not publishable as the error is too high for most practical purposes.,,,,,,,,
,,,,,,,,
Source: Tourism Research Australia: Domestic Tourism Statistics,,,,,,,,
,,,,,,,,
,,,,,,,,
Back to Content,,,,,,,,
